beer/name,beers_average
La Madragore Eisbock,4.01
"\"The Wind Cried Mari...\" Scottish Heather Ale",4.01
Porter House Tyemnoye,4.01
5th Anniversary,4.01
Rosemary IPA,4.01
Belgian Style Tripel,4.01
Export Stout,4.01
"Hoeve Bier (for Pee Klak, Gijzejem)",4.01
Castle Hill Windward Weiss,4.01
Hop Rocket Amber,4.01
Fuggle & Barleycorn,4.01
Warrior Black IPA,4.01
Seneca Pale Ale,4.01
Great Pumpkin Ale,4.01
Rogue's Red,4.01
Nutcracker,4.01
Grey Lodge 10th Anniversary Dunkel Farmhouse,4.01
Partridge In A Pear Tree,4.01
Abbey Belgian Style Ale,4.01
Black Bart,4.01
Holiday Cheer,4.01
Moonbeam Steam,4.01
Santo Viejo,4.01
Piraat Ale,4.01
Session Ale #13: Here It Gose Again,4.01
Ravensbrau India Pale Ale,4.01
Nils Oscar Kalaspåsköl (vintages -2008),4.01
Fischer Stout,4.01
Stoney Creek Rivertown Porter,4.01
10 Barrel Light,4.01
Dred Brown,4.01
Oak Aged Imperial Stout,4.01
Barrel Aged Cherry Porter,4.01
Kodiak IPA,4.01
Sussex Best Bitter,4.01
Bohemian Cristal Pils,4.01
1972,4.01
Eye Of The Storm,4.01
Secession Black India Pale Ale (CDA),4.01
Speciale Vlo,4.01
Brown-Eyed Girl,4.01
Nakoureny Svihak,4.01
Humulus Lupulus,4.01
OMB Copper,4.01
Pumpkin Pie Stout,4.01
Smoked Ale,4.01
Henry Hudson IPA,4.01
El Hefe Speaks,4.01
Nitro,4.01
Revival,4.01
Morrisons Hot Cross Ale,4.01
Hop Daddy IPA,4.01
Uerige Altbier (Classic),4.01
Wired Straight Stout,4.01
Brewer's Art Sublimation,4.01
Back Fence IPA,4.01
Velvet Rooster,4.01
Hop - Ruiter,4.01
Dark Horse Reserve Special Black Bier Ale,4.01
Re-animator,4.01
Thomas Hooker Old Marley Barleywine,4.01
Super Nova Summer Common Beer,4.01
Export Lager,4.01
Highland Imperial Kashmir IPA,4.01
Noche Buena 2005,4.01
Fiesta I.P.A.,4.01
Dishonest Stout,4.01
Belgian-Style Abbey Dubbel,4.01
Junction City Chocolate Stout,4.01
Harpoon Leviathan - Baltic Porter,4.01
Moat Stout,4.01
Obama Brau,4.01
Grand Crüe,4.01
Tripel De Ripple,4.01
Nelson Sauvin Single Hop IPA,4.01
Texas Ranger (Chipotle Porter),4.01
Crop Circle Wheat,4.01
Swan Song Saison,4.01
Amarillo Single Hop IPA,4.01
Ommegang BPA (Belgian-style Pale Ale),4.01
Flagship In Oak,4.01
Adam's Amber Ale,4.01
Nelson O'rye-ly,4.01
Standing Stone Nut Brown Ale,4.01
"February 27th, 1832 Mild Ale",4.01
Iron Hill Black IPA,4.01
Bell's Special Double Cream Stout,4.01
Dragonmead Dead Monk Abbey Ale,4.01
Bell's Batch 4000,4.01
Cambridge House Granby-on-Trent,4.01
Afternoon Delight,4.01
Acorn Premium,4.01
Big Muddy Vanilla Stout,4.01
Ölands Amarillo,4.01
Ignis Et Flamma,4.01
Your Black Heart Russian Imperial Stout,4.01
Veralum Best Bitter,4.01
Velvet Glove,4.01
The Empress,4.01
L'Abysse Cornue,4.01
Barrel Aged Coffee Porter,4.01
McGuire's Imperial Stout,4.01
Jopen Koyt,4.01
Free Range Red,4.01
Floyd's Folly Scottish Ale,4.01
Pilserl,4.01
Elevator Raspberry Wheat,4.01
Oliver's World Cup - Bulldog Bitter,4.01
Wheat Dopplebock,4.01
Tainted Black,4.01
Verchuosity,4.01
Extra Lager Rouge,4.01
Saison De La Soeur Spicy,4.01
Double Diamond Winter Ale,4.01
Short's Cup A Joe Coffee Creme Stout,4.01
Feuerwehrmann Schwarzbier,4.01
Great Lakes Etobichoker,4.01
Great Lakes Morning Glory Breakfast Stout,4.01
Chupar Un Limon,4.01
Allagash Black,4.01
New Holland Oak Aged Pilgrim's Dole,4.01
Craftsman El Prieto Sour Black Ale,4.01
New Holland Night Tripper,4.01
Ipswich 1722 Commemorative Porter,4.01
The Ostemoller,4.01
Our Special Ale 2000 (Anchor Christmas Ale),4.01
Young's Burton,4.01
Portsmouth Wheat Wine,4.01
Alpenglo,4.01
Hopped Off The Tracks IPA,4.01
Biere De Crème,4.01
Pal's Porter,4.01
Bälgviken Pale Ale,4.01
Sky Diver Barley Wine,4.01
B&O Station Hearth Ale 2003,4.01
Atomic '55' IPA,4.01
Skidmark,4.01
Hoppy Lil' Hudson,4.01
Big Black Mariah,4.01
Portsmouth Imperial Pilsener,4.01
Tripe à 3 Chêne,4.01
Fukkoku Lager (Meiji),4.01
Old Fugget,4.01
Pynk,4.01
Hocking Triple,4.01
10 E Lode,4.01
Impériale Weizen Grande Cuvée,4.01
King Screamer,4.01
Série Siganture - Porthos,4.01
Traditional English Pale Ale,4.01
Black Power,4.01
C.P.A.,4.01
Milly's Hoplicious,4.01
La Mummia,4.01
South Rim Oatmeal Stout,4.01
Kapuziner Weissbier,4.01
Master Thief,4.01
Marzoni's Imperial Stout,4.01
Black Swan Porter,4.01
Brooklyn Bitter,4.01
Founders Dirty Bastard,4.01
Barrel Aged Smoke (Smoked Porter),4.01
Trailhead American Pale Ale,4.01
Mind Left Body,4.01
Tiger Bite,4.01
Best Bitter Special (Dry Hopped),4.01
Lierse Caves,4.01
Cask-Conditioned IPA,4.01
Trailhead Winter Lager,4.01
Humulus Ambre,4.01
Happy Holidaze,4.01
Golden Ticket Baltic Porter - Beer Camp #14,4.01
Bitchin Bitter,4.01
Emperor Shennong's Wolfberry Ale,4.01
Wassail,4.01
Churchill's Finest Hour 2010,4.01
Founders Looking Glass,4.01
1850 Porter,4.01
Li'l Napoleon,4.01
Imperial Skibsøl,4.01
The Alarm Double American IPA,4.01
Le Woody,4.01
Hoptimum Double IPA - Beer Camp #19,4.01
Tavern Rat,4.01
Silver Creek Porter,4.01
Buffalo Tap Room Summerfest,4.01
Smoked Bock,4.01
Brew Ridge Trail Collaboration Ale,4.01
Commander,4.01
Elixir Céleste,4.01
Old Orbiter Doppelbock,4.01
Bucky Blonde Ale,4.01
Full Nelson Virginia Pale Ale,4.01
Olde #6 Anniversary Ale,4.01
Rip Roarin' Red Ale,4.01
Campeador - Fergus Mor Ale (2009),4.01
Scousers,4.01
Scratch Beer 39 - 2010 (IPA #3 Of 4),4.01
Jack The Quaffer Porter,4.01
Manchester Alt,4.01
Heritage Alt,4.01
East Coast Amber,4.01
The Merry Mac,4.01
Vanilla Stout,4.01
13 Hour Wheat Wine,4.01
O.P.A. (Oatmeal Pale Ale),4.01
Captain Swing Bourbon Barrel Aged,4.01
Black Rock Stout,4.01
Hawg Wash Belgian Pale Ale,4.01
Dogwood Decadent Ale,4.01
Heartland Brewery Barnstormer Trippel,4.01
Black Eye,4.01
Muskoka Summer Weiss,4.01
Chelsea Hoptoberfest,4.01
Everbrown  (India Brown Ale),4.01
Sierra,4.01
Dimmer's Switch,4.01
Lumbergh Dubbel,4.01
Me262 Maibock,4.01
Wild Cherry Porter,4.01
Thunder Canyon Doble Diablo,4.01
Berkshire Russian Imperial Stout,4.01
Bad Santa,4.01
Independence Hop Ale,4.01
Cruella,4.01
Unplugged Belgian Quadruple,4.01
Cantillon Reed Gueuze Muscat,4.01
Lagonda IPA,4.01
Eisenbahn Pale Ale,4.01
Poperings Hommel Bier,4.01
Abbaye Des Rocs Spéciale Noël,4.01
Longest Night Dunkelweizen,4.01
Titanic Hidden Depths,4.01
Black Betty Russian Imperial Stout,4.01
Smoot's Stout,4.01
Warpig Stout,4.01
North (IPA Project#3),4.01
Butcombe Old Vic Porter,4.01
Bulldog Blonde,4.01
Big Operator,4.01
Pitfield's Night On Mare Street 2006,4.01
Le Pelican Brun,4.01
Barrett Spur Bitter,4.01
Weizen-Bock,4.01
Brock's Extra Stout,4.01
IPAbbey (Excelsior! Series),4.01
MacGregor's Scotch Ale,4.01
Cocoa Leche,4.01
Thomas Hooker Munich Style Lager,4.01
Tomislav Pivo,4.01
Elemental Ale,4.01
A-10 Warthog Double IPA,4.01
Tennent's Stout,4.01
Dindon,4.01
Gose,4.01
Herborner Bärenbräu PIls,4.01
Dihos Dactylion,4.01
PG-13,4.01
Quadripple,4.01
Hopturnal Emission,4.01
Cuvee Freddy,4.01
Hurricane Harvest Double IPA,4.01
Captain Cascade,4.01
Inferno Ale,4.01
Val-Dieu Brune,4.01
Bashah Highland Park And Black Raspberry Reserve,4.01
Kuhnhenn American Wheat IPA,4.01
Imperial India Pale Ale #500,4.01
Fra Via Til (From Via To),4.01
Sunturnbrew,4.01
Orange Chocolate Stout,4.01
Zoetzuur Flemish Ale,4.01
Sobol Klassichiskoye,4.01
Bull Falls Bock,4.01
Draft Bear,4.01
Danish Dream,4.01
Pisgah Bacon Stout,4.01
Head High IPA,4.01
Saison De Sorachi,4.01
Stone Cali-Belgique,4.01
Oaked Double Bastard Ale,4.01
Jacques Au Lantern,4.01
Original English Ale,4.01
Sum Nug,4.01
American Darling,4.01
Aardmoker - Earthmallet,4.01
Blind Pig Spooky Coincidence Abbey Dubbel,4.01
Cambridge House Honey Blonde,4.01
Old Percolator Coffee Porter,4.01
Tripple Madness,4.01
Cherry Tart,4.01
Dragonmead Copper Shield Bitter Harvest,4.01
Hop On!,4.01
Kelso Flemish Red Ale,4.01
Narren,4.01
Père Abbé Tripel,4.01
Saison De Dottignies,4.01
Vertical Winter Ale,4.01
Bourbon Vanilla Porter,4.01
Oliver's Blackfriar Stout,4.01
Dominion Millennium Ale,4.01
Ayinger Ur-Weisse,4.01
Hill's Special Wheat,4.01
Phil's Eamstay Eerbay,4.01
Sornin,4.01
Railyard Amber Ale,4.01
Armory XPA,4.01
Ølfabrikken Dekadence 2005,4.01
Brøckhouse Blonde,4.01
St. Nikolaus Bock Bier,4.01
Camaraderie,4.01
Sitting Bull Red,4.01
Marin Point Red Wine Barrel Aged Chocolate Airporter,4.01
Flashpoint Porter,4.01
Elevator Maibock,4.01
Smuttynose Big A IPA (Big Beer Series),4.01
New Holland Pope's A German Alt,4.01
Augustiner Bräu Weissbier,4.01
Mumbling Monk,4.01
Klondike Gold,4.01
Adnams Ghost Ship,4.01
BCCAle,4.01
Acadia Pale Ale,4.01
St. Feuillien Cuvée De Noël,4.01
Bonator,4.01
