beer/name,beers_average
Cocka-Too,1.02
Canadian Whitetail Smooth Lager,1.03
Carlton Dry Fusion Black,1.03
Ô Fruit Framboise,1.05
Zhigulevskoye Lubitelskoye,1.06
Double Bonsecours A L'Erable Randall Mystere,1.06
Kronenbier,1.06
Monster Green Lager,1.06
Blacksmith Bitter,1.06
Nevskoye Kronwerk,1.09
Yanjing Lemon Beer,1.1
Svitle Legke,1.11
Ben Franklin Brown,1.11
Carlton Dry Fusion Lemon,1.12
Euroshopper Premium Lager,1.12
Harry's Hogg Chilli Beer,1.12
Northwest Wheat,1.12
Hyuganatsu,1.12
Permyakov Elitnoye Pivo,1.12
Bondi Red Natural Ale,1.13
Gold Coast Lifesaver Lager,1.13
JoviAle,1.13
Ivrest,1.15
Rock Head Malt Liquor,1.15
Jupiler Force,1.15
Cerveza Conmemorativa 2008,1.16
West End Gold,1.16
Vagrant's Choice,1.16
Stite Light Lager,1.16
Cara Pils,1.16
Budweister 66,1.16
Dukes Own (Duke Of Duckworth),1.16
Triple Treat,1.16
Hahn Ice,1.17
Vita,1.17
PA Blonde,1.17
Pauw Witbier,1.18
Master Choice De-Alcoholized Ice Beer,1.18
Mash Chocolate Porter,1.18
Gold Coast Pacific Blonde,1.18
Bavaria 12.3,1.18
Charles Reibenbach Lager,1.2
Persico,1.2
Chernigivske Mitsne,1.2
Mid-West IPA,1.2
Fire In The Hole Chili Beer,1.2
Dinkel Acker CD-Alkoholfrei,1.21
Mixta Shandy,1.21
Great Western Natural Draft,1.21
Colorado Brewing Raspberry Blonde,1.22
Lucky Lager Force 10,1.22
Rege,1.23
Sunshine Coast Bitter,1.23
Carlton Cold Shot,1.23
Panther Ice Ale,1.23
Bavaria Tarwebok,1.23
Pit Bull,1.25
Cru De Pointe-du-Lac,1.25
Refined Ale Beer,1.25
Cergal,1.25
Harveys Kiss Ale,1.26
Moles Barleymole Bitter,1.26
Sanctuary Cove Premium Lager,1.26
Antarctica Chopp Claro,1.26
Sternburg Radler,1.26
Gold Coast Honey Pale Ale,1.27
Karl Pils,1.27
Van Helsings All Natural Mouthwash,1.27
Guam USA Beer Company Island Lager,1.27
Liber,1.28
Lime Mortelle,1.28
Archipelago Trader's Brown Ale,1.28
The Black Douglas,1.28
Surf City Pale Ale,1.28
Vlaamsch Wit,1.29
Olympia Gold,1.29
Kire,1.3
Marina,1.3
St. Patrick's Day Beer,1.31
Impish Amber,1.31
Duneland Open Hearth Amber,1.32
Valor,1.32
Sol Cero,1.32
Snow Light Refreshing Beer,1.32
Bière De Vigne,1.32
Hakama Ale,1.32
Steinburg,1.32
Masthead Beez Neez,1.32
Ndovu Special Malt,1.32
WTF,1.33
Rock Ice Limon,1.34
Boals Dubbelop,1.34
Tooheys Blue,1.34
Sagres Chopp,1.34
Salitos Ice,1.34
Tscheshskoe Barnoe,1.34
Scorcher Summer Ale,1.35
Jalepeno Lager,1.35
Rousse D'Hiver,1.35
Sail & Anchor Draught,1.36
Hiland Ice,1.36
Framboos Kus,1.36
Evil Eye Red,1.36
Arctic Experience,1.37
LCL Strong Lager,1.37
Valhalla IPA,1.37
Mongoose Malt Liquor,1.37
Marlyn´s Beer Lager,1.37
Old Blarney Barleywine - Chardonnay Barrel Aged,1.38
L'Abord-À-Plouffe,1.38
Akashi Kaigan Beer,1.38
PWB 360 Lager,1.38
Razzberri Ale,1.39
Connie Mack ESB,1.39
Chancellor Pale Ale,1.39
Hardy & Hansons Kimberley Best Mild,1.39
The Cat Ice,1.4
Dixie White Moose,1.4
Black Buck Stout,1.4
Middle Villa Yin-Yang,1.4
Blues Pils,1.41
Cold Ultra Chill,1.41
Geelong Draught,1.41
ESP (Extra Special Porter),1.41
Tooheys Maxim,1.41
Bruge Stout,1.42
Sapporo Namashibori Toretate Hop,1.42
La Lévisienne,1.42
Ackels Forte 8.0,1.42
El Lapino,1.42
Munkbo Julöl,1.43
Coastal Light Low Carbohydrate Lager,1.43
Flathead Cherry Ale,1.43
Apa,1.43
Stite Golden Pilsner,1.43
Penn Gwenn,1.43
Beer 30,1.44
Drake's Dark Diggler,1.44
Barkley Sound Amber Red Reserve,1.44
Leapfrog Mint Kölsch,1.44
St. Peters Festival Ale,1.45
Heavyweight Rye Double IPA,1.45
Mothers Milk,1.45
Brown Lager,1.45
Faxe Free,1.45
Blood Of 1000 Corpses,1.45
Cerveza De La Casa,1.45
Carlton Dry Fusion Lime,1.45
Cold Spring Lager,1.45
Senkainama,1.46
Great Dane Pale Ale,1.46
Asahi Honnama Aqua Blue,1.46
Geelong Premium,1.46
Nikko Beer,1.46
St-Urbain Blonde,1.47
Dark Pilsener,1.47
Animée Clear Beer,1.48
Kriek Extra,1.48
Loaders Light,1.48
Townsville Lager Lout,1.48
Holgate Brewhouse Summer Wheat,1.48
Cairns Draught,1.48
Jodler,1.48
Bondi Blonde Natural Ale,1.49
Chihuahua,1.49
Carlton Cold,1.49
Northern Extra Light,1.49
Catch Lager,1.49
Harboe Pilsner,1.49
Mowich Mild,1.49
Moroccan Vanilla Organic Honey Baltic Porter,1.49
Jacob Hackstein Pilsner,1.5
J. Boag's Original Bitter,1.5
Evil Eye,1.5
Coral,1.5
Gold Beer,1.5
Red Ant,1.5
LCL Lager,1.5
Rat Trap Lager,1.5
Dr. Shock IPA,1.5
Druk Lager Premium Beer,1.5
Lime Kiln Lager,1.5
St Martin's,1.5
Castlemaine XXXX Off The Wood,1.51
Nova Schin Malzbier,1.51
StrawBeery Ale,1.51
Jaguar High Gravity Lager,1.51
Portland Original Traditional Ginger Beer,1.52
"Finkbräu Pils 2,1%",1.52
Mary-Jo (The Hemp Beer),1.52
Snow Specially Brewed 11°,1.52
Louwaege's Kriek,1.52
E-Fresh,1.52
Crossroads,1.52
Permyakov Khmelnoye Pivo,1.52
Gluek's Dark,1.52
